priority,issue_type,reporter,vote_count,comment_count,description_length,summary_length,watch_count,duration
Minor,Short,Other,0.0,1.6094379124341003,0.0,51,0.0,9.91485353846739
Major,Short,dcreager,0.0,1.0986122886681098,5.493061443340548,50,0.0,7.918583091896764
Major,Short,dcreager,0.0,1.0986122886681098,6.311734809152915,61,0.0,7.91991664569756
Major,Short,hammer,0.0,0.6931471805599453,5.860786223465865,28,0.6931471805599453,6.830295971732063
Major,Short,Other,0.0,2.4849066497880004,6.008813185442595,44,0.0,10.133561745373939
Major,Short,Other,0.0,1.3862943611198906,5.8664680569332965,52,0.6931471805599453,8.533774977236048
Major,Short,Other,0.6931471805599453,1.9459101490553132,6.799055862058796,43,0.6931471805599453,10.830208269517886
Major,Short,Other,0.0,1.6094379124341003,5.82600010738045,117,0.6931471805599453,5.532477149088587
Critical,Short,scott_carey,0.0,2.3978952727983707,5.278114659230517,80,0.0,10.318244349998297
Major,Short,scott_carey,0.0,2.5649493574615367,8.056743774975313,35,0.6931471805599453,10.392753100217103
Minor,Short,jbaldassari,0.0,1.9459101490553132,6.8658910748834385,57,0.0,7.5327555961607615
Major,Short,jbaldassari,0.0,1.9459101490553132,6.063785208687608,68,0.0,7.675359991426015
Major,Short,scott_carey,0.0,1.791759469228055,6.333279628139691,85,1.3862943611198906,13.068353621510665
Critical,Short,Other,0.6931471805599453,2.5649493574615367,7.086737934510577,79,0.6931471805599453,10.84270797909559
Major,Short,vnadkarni,0.0,1.9459101490553132,7.455876687491824,83,0.0,9.309938229870468
Major,Short,Other,0.0,2.3978952727983707,7.917171988845776,107,1.6094379124341003,13.070534320644553
Minor,Short,Other,0.0,1.6094379124341003,7.292337176173877,53,0.0,7.469821671256218
Blocker,Short,Other,0.6931471805599453,3.044522437723423,9.103311799217659,50,1.9459101490553132,12.964726840664605
Minor,Short,Other,0.0,1.9459101490553132,6.4967749901858625,50,0.0,11.332837727143872
Major,Short,Other,0.0,1.0986122886681098,6.364750756851911,51,0.6931471805599453,13.346062665921343
Major,Short,cutting,0.0,1.3862943611198906,0.0,50,0.0,7.050276237855466
Minor,Short,Other,0.0,1.0986122886681098,3.9512437185814275,48,0.0,4.510444402057896
Minor,Short,Other,0.0,0.6931471805599453,6.1779441140506,46,0.0,6.136082542070129
Minor,Short,Other,0.0,1.9459101490553132,7.1631723908466425,85,0.6931471805599453,7.735703107779128
Minor,Short,Other,0.0,2.302585092994046,7.014814351275545,33,0.0,11.414018757506858
Major,Short,Other,0.0,1.791759469228055,4.700480365792417,48,1.3862943611198906,13.296437148392153
Minor,Short,vnadkarni,0.0,2.1972245773362196,6.877296071497429,82,0.0,11.25150938783102
Major,Short,Other,0.0,0.6931471805599453,7.734121303328305,70,0.6931471805599453,2.48489276080266
Major,Short,Other,0.0,2.0794415416798357,7.734121303328305,70,1.0986122886681098,9.275181840970417
Minor,Short,Other,0.0,2.4849066497880004,5.786897381366708,69,0.0,9.575566380462663
Major,Short,Other,1.0986122886681098,2.5649493574615367,7.014814351275545,28,1.791759469228055,11.875966704112432
Major,Long,hammer,0.0,2.1972245773362196,4.844187086458591,31,1.791759469228055,13.93871847037669
Major,Long,scott_carey,0.0,0.0,3.6109179126442243,41,0.6931471805599453,4.555934422554052
Major,Long,lmartinking,0.6931471805599453,2.1972245773362196,6.75110146893676,29,1.791759469228055,10.63329887250432
Major,Long,lmartinking,1.0986122886681098,2.302585092994046,4.553876891600541,29,1.3862943611198906,13.777459380003348
Major,Long,Other,0.6931471805599453,2.302585092994046,6.1224928095143865,53,1.6094379124341003,13.72444877286281
Minor,Short,Other,0.0,2.0794415416798357,5.62040086571715,69,0.6931471805599453,9.236524713661677
Minor,Short,Other,0.0,1.0986122886681098,5.537334267018537,79,0.0,9.254091040142107
Trivial,Short,Other,0.0,1.791759469228055,5.147494476813453,52,0.6931471805599453,10.355438071968342
Minor,Short,lmartinking,0.6931471805599453,1.9459101490553132,5.723585101952381,34,0.6931471805599453,10.19816701356174
